model,order,perplexity,tokens_scored,log_prob_sum
unigram,1,672.6047596013026,446147,-2904933.552771236
bigram (add-1),2,1319.7795087813777,446147,-3205664.330754885
trigram (add-1),3,7421.774870133718,446147,-3976139.4742450486
